nama,nik,no_hp,email,alamat,gaji,npwp
Sakti Hakim,5757761302779978,087787717687,sakti.hakim@yahoo.co.id,"Gg. Setiabudhi No. 51, Purwokerto, KR 63431",Rp 20.000.000,74.467.854.3-615.776
"Heru Sihombing, S.Psi",7194021804016547,081695610700,"heru.sihombing,.s.psi639@yahoo.co.id","Gg. Antapani Lama No. 958, Ambon, Kalimantan Barat 90880",Rp 17.000.000,54.954.505.3-686.888
Bella Permata,6183172504921106,089535616460,bella.permata77@mail.id,"Gg. Rajiman No. 4, Bogor, SR 59981",Rp 20.000.000,71.820.701.1-676.589
"Ajeng Purnawati, S.T.",4093061702955846,085389717776,"ajeng.purnawati,.s.t.36@hotmail.com","Jl. R.E Martadinata No. 006, Sawahlunto, JI 45146",Rp 20.000.000,90.212.594.4-418.529
dr. Nurul Setiawan,1336890412717546,089635548920,dr..nurul.setiawan@outlook.com,"Gg. Jend. A. Yani No. 3, Balikpapan, Sulawesi Barat 36183",Rp 10.000.000,80.813.768.4-501.301
"Dr. Anom Astuti, M.TI.",7705372111812619,089875851620,"dr..anom.astuti,.m.ti.437@perusahaan.co.id","Gg. Cempaka No. 17, Binjai, KR 23371",Rp 8.000.000,82.665.849.4-530.121
Rahmat Saefullah,6683172107715363,081814433723,rahmat.saefullah669@outlook.com,"Jl. Rawamangun No. 6, Pekanbaru, Kalimantan Utara 14059",Rp 7.000.000,10.823.303.8-145.161
Dasa Saragih,5509722209685571,082173012750,dasa.saragih101@mail.id,"Gang S. Parman No. 545, Solok, BA 94975",Rp 6.000.000,91.136.971.6-625.873
Calista Simbolon,9416090111674941,085373205941,calista.simbolon24@mail.id,"Gg. Cikapayang No. 8, Kota Administrasi Jakarta Pusat, AC 36635",Rp 7.000.000,83.343.365.3-853.143
drg. Panji Safitri,6881452712906201,081655311337,drg..panji.safitri@outlook.com,"Gg. Bangka Raya No. 627, Kotamobagu, MA 72016",Rp 11.000.000,21.548.180.6-148.412
Hardi Prakasa,8508002605955181,089626244164,hardi.prakasa565@gmail.com,"Gg. Waringin No. 50, Tomohon, BA 54662",Rp 5.500.000,58.725.164.8-318.637
Makuta Novitasari,9115722812964481,082102262568,makuta.novitasari225@yahoo.co.id,"Jalan Cikutra Barat No. 9, Mataram, Sumatera Utara 82928",Rp 17.000.000,34.581.352.3-274.985
Puti Carla Aryani,4551151108727312,085615104283,puti.carla.aryani@hotmail.com,"Jl. Wonoayu No. 691, Tegal, Sulawesi Barat 07951",Rp 7.000.000,50.296.448.7-613.193
"Gaiman Lazuardi, S.E.I",5073692309751839,082184012830,"gaiman.lazuardi,.s.e.i5@perusahaan.co.id","Jl. Cikapayang No. 32, Kediri, Kepulauan Riau 86749",Rp 12.000.000,15.189.675.4-934.999
Dt. Agus Situmorang,1725152205950209,081689703302,dt..agus.situmorang548@outlook.com,"Jl. Dr. Djunjunan No. 569, Serang, SB 97027",Rp 17.000.000,21.976.711.7-225.373
Mahesa Siregar,1577650510815624,089767480896,mahesa.siregar842@yahoo.co.id,"Jalan Jend. Sudirman No. 146, Blitar, Kepulauan Bangka Belitung 70293",Rp 6.000.000,68.894.251.2-361.145
Prabawa Safitri,7057362801673846,081905178275,prabawa.safitri950@outlook.com,"Gang Ahmad Dahlan No. 2, Bukittinggi, Banten 50372",Rp 12.000.000,55.843.700.3-783.664
"Cut Jasmin Pranowo, S.T.",8158421901056766,089691288438,"cut.jasmin.pranowo,.s.t.@outlook.com","Gang Rawamangun No. 0, Pekalongan, Lampung 93745",Rp 17.000.000,90.387.882.7-450.633
"Ir. Ilyas Wacana, S.Gz",3739760509783716,089907526426,"ir..ilyas.wacana,.s.gz924@perusahaan.co.id","Gg. Indragiri No. 298, Bekasi, MU 66376",Rp 11.000.000,68.215.976.5-940.795
Jindra Pratama,4744000311934858,089589256718,jindra.pratama30@hotmail.com,"Jalan Raya Setiabudhi No. 6, Dumai, DKI Jakarta 25010",Rp 7.000.000,36.807.239.6-155.692
"Damar Yuliarti, S.Kom",5497240206907400,081814312553,"damar.yuliarti,.s.kom31@hotmail.com","Gg. Yos Sudarso No. 1, Singkawang, KB 52408",Rp 17.000.000,17.893.610.6-968.590
Adiarja Hutasoit,3935942006037753,081658248017,adiarja.hutasoit@mail.id,"Jalan Antapani Lama No. 00, Balikpapan, DI Yogyakarta 51897",Rp 8.000.000,21.854.147.9-490.557
Maria Sihotang,3582690907782826,082155763292,maria.sihotang@perusahaan.co.id,"Gg. Kebonjati No. 53, Tebingtinggi, Nusa Tenggara Timur 61902",Rp 6.500.000,18.459.542.4-973.327
Saiful Tampubolon,9828901101809501,082349609021,saiful.tampubolon375@hotmail.com,"Jl. Abdul Muis No. 99, Bandar Lampung, JT 92211",Rp 4.500.000,45.979.107.7-561.642
Salman Permadi,5076881912034076,089798951223,salman.permadi390@kantor.com,"Jalan Moch. Toha No. 845, Kendari, Nusa Tenggara Barat 87695",Rp 13.000.000,16.380.771.1-918.653
Cut Betania Purnawati,4350390705024961,082262659618,cut.betania.purnawati80@mail.id,"Jalan Rumah Sakit No. 7, Binjai, Riau 65077",Rp 25.000.000,66.178.302.6-291.610
Paramita Firmansyah,4355131001991518,089626847344,paramita.firmansyah@yahoo.co.id,"Jalan Rajawali Barat No. 6, Denpasar, Banten 39666",Rp 13.000.000,19.514.981.5-679.961
Eli Andriani,4539120201016493,085728795437,eli.andriani678@kantor.com,"Gang Gedebage Selatan No. 59, Pekanbaru, SU 31216",Rp 4.500.000,44.138.100.8-243.198
Cagak Prabowo,1136872203011381,081739799407,cagak.prabowo912@mail.id,"Jl. Suryakencana No. 987, Kota Administrasi Jakarta Timur, KB 06282",Rp 20.000.000,44.435.758.8-256.696
Tina Wibowo,7052650802842905,085227826670,tina.wibowo73@outlook.com,"Gang Yos Sudarso No. 4, Parepare, NB 42124",Rp 20.000.000,78.764.705.5-210.982
drg. Edi Kuswoyo,5247000403987655,085891454977,drg..edi.kuswoyo@kantor.com,"Jalan Ahmad Dahlan No. 2, Yogyakarta, Aceh 18722",Rp 7.000.000,22.315.707.4-775.151
Yani Suryatmi,7032672202849225,081788013160,yani.suryatmi@outlook.com,"Gang Kapten Muslihat No. 95, Bitung, BB 79992",Rp 15.000.000,17.804.598.8-839.940
Hamima Novitasari,4401521408738365,089894795447,hamima.novitasari810@gmail.com,"Gang Ir. H. Djuanda No. 797, Padang, MA 15230",Rp 15.000.000,74.797.776.9-831.322
Martana Maryati,4003812811675048,081522927205,martana.maryati53@kantor.com,"Jalan Erlangga No. 37, Palembang, KB 58098",Rp 10.000.000,94.127.116.4-695.259
dr. Diana Saptono,9561260810714157,082321129404,dr..diana.saptono@outlook.com,"Gang Stasiun Wonokromo No. 576, Tegal, Kalimantan Tengah 69193",Rp 5.500.000,60.132.878.6-708.683
Gilda Wijaya,1432902405864129,085325730941,gilda.wijaya@mail.id,"Jl. Rawamangun No. 02, Madiun, Sulawesi Utara 95303",Rp 11.000.000,38.105.992.8-377.974
"Padma Anggriawan, S.Pt",9867752101797622,081417005227,"padma.anggriawan,.s.pt@mail.id","Jl. Lembong No. 816, Palu, JB 62921",Rp 11.000.000,31.437.658.5-739.354
Manah Maryati,7353460805819389,089600547126,manah.maryati@kantor.com,"Gg. Dr. Djunjunan No. 15, Gorontalo, Jawa Timur 64736",Rp 15.000.000,13.408.966.9-685.757
T. Mahmud Safitri,9232902708022633,081648824896,t..mahmud.safitri@gmail.com,"Jl. R.E Martadinata No. 244, Jambi, DI Yogyakarta 37825",Rp 6.500.000,68.706.989.5-656.957
Omar Yuniar,6725150806988545,085664103071,omar.yuniar723@kantor.com,"Jl. Kebonjati No. 7, Tangerang Selatan, Maluku 16187",Rp 25.000.000,99.463.667.1-210.233
Ifa Handayani,4811192001663458,085856577126,ifa.handayani90@mail.id,"Gang Raya Ujungberung No. 44, Tanjungpinang, BT 97019",Rp 9.000.000,31.962.797.3-731.930
"Ikhsan Prastuti, S.Sos",5314972008988870,085740212123,"ikhsan.prastuti,.s.sos@gmail.com","Gang H.J Maemunah No. 92, Payakumbuh, Nusa Tenggara Timur 18451",Rp 6.500.000,11.998.289.2-137.171
Rahmat Firgantoro,5105502006692909,081336602763,rahmat.firgantoro@mail.id,"Jalan S. Parman No. 57, Payakumbuh, MA 61291",Rp 14.000.000,71.963.759.2-313.552
Jais Hardiansyah,2313041309863260,081655554718,jais.hardiansyah885@kantor.com,"Gg. Erlangga No. 4, Lubuklinggau, Kalimantan Selatan 69993",Rp 25.000.000,15.775.837.7-365.254
"Chelsea Mayasari, S.I.Kom",6729801911685267,081760005616,"chelsea.mayasari,.s.i.kom112@yahoo.co.id","Jalan Kendalsari No. 108, Tangerang Selatan, BE 93022",Rp 20.000.000,47.530.715.9-977.965
Gamblang Samosir,1511941209702995,081491648427,gamblang.samosir@outlook.com,"Gang BKR No. 3, Surabaya, LA 16799",Rp 9.000.000,62.449.103.5-783.365
"Teddy Megantara, S.IP",5639451308048254,089979410763,"teddy.megantara,.s.ip27@yahoo.co.id","Gang Pasirkoja No. 987, Tebingtinggi, KS 25193",Rp 5.500.000,74.408.231.7-519.371
"Yani Hutapea, S.E.I",6625092512690855,089560476384,"yani.hutapea,.s.e.i183@outlook.com","Jalan Kendalsari No. 353, Sabang, KR 72093",Rp 17.000.000,95.101.348.9-421.954
Hj. Chelsea Prastuti,5190051901826202,085863494985,hj..chelsea.prastuti@mail.id,"Gang Sadang Serang No. 9, Bima, JI 82766",Rp 30.000.000,84.547.407.3-213.122
Hamzah Nurdiyanti,4561130202931725,087737304427,hamzah.nurdiyanti@gmail.com,"Jl. Ronggowarsito No. 978, Batam, Riau 10398",Rp 6.000.000,74.703.313.4-345.588
Rendy Hidayat,7592160201934508,081889392507,rendy.hidayat545@perusahaan.co.id,"Gg. Stasiun Wonokromo No. 42, Bekasi, RI 35804",Rp 7.000.000,21.959.983.2-112.634
Anita Permadi,7122712410957739,085611945981,anita.permadi847@hotmail.com,"Jl. Laswi No. 3, Sungai Penuh, SR 63981",Rp 4.500.000,24.738.160.1-176.264
"Hj. Zizi Sinaga, S.Farm",7524071103054262,081859906413,"hj..zizi.sinaga,.s.farm@perusahaan.co.id","Jalan Monginsidi No. 29, Bukittinggi, Sulawesi Selatan 00076",Rp 7.000.000,77.828.354.7-453.597
Arsipatra Halimah,8119712604785847,082346096544,arsipatra.halimah2@yahoo.co.id,"Jalan Stasiun Wonokromo No. 7, Kediri, Sulawesi Tengah 36667",Rp 8.000.000,41.852.333.4-717.271
"Drs. Asmuni Prayoga, M.Pd",3373931606955904,085864530028,"drs..asmuni.prayoga,.m.pd73@gmail.com","Jl. R.E Martadinata No. 15, Kota Administrasi Jakarta Selatan, Sulawesi Barat 42542",Rp 25.000.000,10.916.710.9-697.593
"Sutan Prasetyo Suwarno, S.Psi",4239821709872789,081648519973,"sutan.prasetyo.suwarno,.s.psi918@mail.id","Gang Suniaraja No. 014, Pangkalpinang, Sulawesi Tengah 79875",Rp 15.000.000,25.557.145.7-718.478
Wirda Siregar,6874442309905121,081435473327,wirda.siregar@hotmail.com,"Gang Surapati No. 7, Jayapura, SG 87414",Rp 7.500.000,86.856.693.3-977.822
Ir. Ida Padmasari,4087722904896262,082106561076,ir..ida.padmasari47@hotmail.com,"Jalan Soekarno Hatta No. 89, Cirebon, Papua Barat 94061",Rp 9.000.000,61.362.987.8-147.461
Widya Thamrin,7537872301927331,081826329196,widya.thamrin935@yahoo.co.id,"Gg. Laswi No. 86, Tegal, Banten 51823",Rp 17.000.000,78.602.344.1-415.423
Ega Firmansyah,5844232110748424,081950621268,ega.firmansyah@perusahaan.co.id,"Gg. Pasteur No. 60, Pekalongan, Banten 49842",Rp 13.000.000,61.198.224.1-931.265
Lalita Saputra,3004881703944911,089925211073,lalita.saputra250@gmail.com,"Gang Pasirkoja No. 340, Banjarbaru, Kepulauan Riau 38648",Rp 17.000.000,60.321.254.8-181.405
"Cut Hesti Mansur, S.Farm",5672772805849987,081829573363,"cut.hesti.mansur,.s.farm@mail.id","Jalan Laswi No. 53, Semarang, Jawa Barat 56646",Rp 9.000.000,58.695.401.6-434.940
Queen Maryati,1725480512900053,081227839935,queen.maryati@perusahaan.co.id,"Jalan Pasteur No. 82, Binjai, Maluku 90658",Rp 5.000.000,65.221.329.9-750.935
Violet Manullang,3171091004828537,081879889723,violet.manullang@mail.id,"Gg. Pelajar Pejuang No. 217, Subulussalam, Jawa Tengah 19330",Rp 4.500.000,87.225.469.9-207.943
Paris Saragih,1411050805056318,081216202195,paris.saragih830@kantor.com,"Gg. Sentot Alibasa No. 689, Tanjungpinang, JK 53982",Rp 15.000.000,26.417.608.9-728.348
"dr. Harimurti Budiyanto, S.Farm",5900701904766207,087871835303,"dr..harimurti.budiyanto,.s.farm43@gmail.com","Jalan Jend. Sudirman No. 7, Palangkaraya, Lampung 76186",Rp 17.000.000,37.142.769.9-695.630
Pia Hutagalung,1371992306822330,081520726708,pia.hutagalung@gmail.com,"Jl. Ciumbuleuit No. 0, Sungai Penuh, KB 74194",Rp 9.000.000,56.986.606.3-820.439
Kasiran Kusmawati,4930312107051395,089655385957,kasiran.kusmawati671@kantor.com,"Gang Sadang Serang No. 39, Palembang, SU 68295",Rp 6.500.000,77.784.198.6-210.295
Viman Namaga,4903182909796294,081425970585,viman.namaga@hotmail.com,"Jl. Dipenogoro No. 08, Meulaboh, SN 14244",Rp 4.500.000,68.584.525.5-107.465
Vicky Rahmawati,6732060602864681,085834391413,vicky.rahmawati43@gmail.com,"Jalan PHH. Mustofa No. 2, Kota Administrasi Jakarta Utara, SU 35022",Rp 14.000.000,48.433.569.6-409.185
"drg. Nalar Wasita, S.Gz",3392522509979542,082271229899,"drg..nalar.wasita,.s.gz89@gmail.com","Jalan Pasteur No. 1, Cilegon, Bali 36934",Rp 30.000.000,80.409.696.3-649.170
Olivia Waskita,1609611206686135,082290413382,olivia.waskita692@hotmail.com,"Jalan Kutisari Selatan No. 03, Tomohon, Maluku Utara 20856",Rp 5.000.000,61.896.136.7-656.600
Harsanto Sitompul,7120691209695794,082302172256,harsanto.sitompul51@outlook.com,"Jl. Monginsidi No. 6, Medan, Nusa Tenggara Barat 45530",Rp 11.000.000,96.487.608.4-344.168
Mahesa Lestari,9586691108054331,089904054112,mahesa.lestari44@hotmail.com,"Gang Surapati No. 52, Tanjungpinang, SG 28802",Rp 5.500.000,13.453.334.9-306.654
Ajeng Putra,8567122203843869,082284020244,ajeng.putra90@outlook.com,"Jl. Jend. A. Yani No. 70, Purwokerto, LA 54293",Rp 25.000.000,46.613.448.3-950.182
Lamar Namaga,5274031704713036,081499497701,lamar.namaga@kantor.com,"Gang PHH. Mustofa No. 0, Sukabumi, LA 73621",Rp 6.000.000,34.986.415.2-700.136
Salimah Prasasta,3914370805997388,089588241858,salimah.prasasta@kantor.com,"Jalan Cihampelas No. 42, Jayapura, KR 82490",Rp 8.500.000,63.900.778.6-471.652
Jinawi Iswahyudi,2863752110922898,089551732534,jinawi.iswahyudi87@hotmail.com,"Gg. Rawamangun No. 8, Batam, Kalimantan Selatan 27707",Rp 30.000.000,43.129.622.7-690.707
Gadang Kuswandari,9758020411040909,085335740680,gadang.kuswandari@outlook.com,"Jalan Rawamangun No. 621, Mojokerto, KB 14741",Rp 7.500.000,97.480.279.8-224.580
